patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
147,cool-stable,1,78,7800.0,26.3015,3000.0,2.896533,0.000625641,0.028760685,26.328,-0.1359239,0.028339654
148,cool-stable,1,10,1000.0,18.337,1358.6935,2.7800853,0.0,0.12669136,27.095001,0.8810879,-0.3622396
149,cool-stable,1,27,2700.0,19.255,1350.0371,2.1451097,0.0,0.06650663,25.632,-0.6893413,-0.4182393
150,cool-stable,1,20,2000.0,26.8985,1018.9944,4.553642,0.0,0.0,27.8015,0.6596305,0.30794
151,cool-stable,1,9,900.0,16.131,3000.0,0.7733731,0.17493334,0.29877913,6.453,0.94791764,-0.030599631
152,cool-stable,1,346,34600.0,18.9625,1325.5565,1.5599866,0.00017919074,0.04056947,23.222,0.24006128,-0.19224018
153,cool-stable,1,46,4600.0,13.705999,1190.0,4.529044,0.0,2.6838431e-06,29.21,-0.6723585,-0.05613987
154,cool-stable,1,9,900.0,16.332,3000.0,0.9440983,0.16915555,0.326941,5.227,0.8977537,0.034520607
155,cool-stable,1,18,1800.0,25.226,999.54443,3.7714787,0.0,0.0,27.029999,0.32776046,0.62494004
156,cool-stable,1,71,7100.0,12.468,944.2987,1.4295752,0.0,0.0,24.799,0.094314545,-0.24639949
157,cool-stable,1,93,9300.0,22.525,1321.8547,3.6165195,0.0,0.0,24.036,-0.19761129,0.037520066
158,cool-stable,1,15,1500.0,15.218,986.5597,3.404059,0.0,0.0,25.732,-0.7477516,-0.24456024
159,cool-stable,1,176,17600.0,17.432,1917.2634,0.78461987,0.0,0.0,24.059,0.27392933,-0.31646055
160,cool-stable,1,22,2200.0,16.6035,3000.0,3.0635185,0.0011999999,0.0753367,23.4845,-0.29520115,0.13213971
161,cool-stable,1,20,2000.0,26.095001,1576.054,1.5483334,0.020019999,0.05532099,22.9855,0.5182725,-0.3333406
162,cool-stable,1,10,1000.0,17.768,3000.0,1.7365696,0.05896,0.11760493,24.9305,0.19581515,-0.30816036
163,cool-stable,1,9,900.0,11.735,1044.4615,4.427453,0.0,0.0,28.716,-0.3385811,-0.8016403
164,cool-stable,1,56,5600.0,14.7655,992.8998,2.2481384,0.0,0.0,25.587502,-0.17677921,-0.41923988
165,cool-stable,1,18,1800.0,19.8265,926.8494,2.7296176,0.0,0.0,29.615,-0.6812881,-0.66332054
166,cool-stable,1,18,1800.0,9.901501,1109.0894,2.2803307,0.0,0.076790124,27.1665,-0.89715415,-0.37815973
167,cool-stable,1,130,13000.0,18.6105,1049.0468,3.5359356,0.0,0.0,26.3475,-0.36655018,-0.10965977
168,cool-stable,1,10,1000.0,12.355499,1077.5657,2.3710465,0.0,0.0,23.5875,-0.4426102,-0.28387988
169,cool-stable,1,19,1900.0,27.879,1557.0806,2.3603442,0.0040210523,0.024749838,23.88,-0.56526387,-0.18591988
170,cool-stable,1,162,16200.0,17.6145,3000.0,0.51740116,0.0,0.0,27.811,0.7070183,-0.022280235
171,cool-stable,1,9,900.0,18.331,1053.8501,2.2030468,0.0,0.0,26.761,-0.12347483,-0.8223605
172,cool-stable,1,10,1000.0,12.1245,1022.1293,2.8315194,0.0,0.0,29.654,-0.8336396,-0.8093001
173,cool-stable,1,13,1300.0,25.132,859.0693,4.1024814,0.0,0.0,23.394,-0.7330255,-0.050959624
174,cool-stable,1,10,1000.0,20.7575,3000.0,0.4410697,0.0,0.0,29.416,0.8787526,-0.09494038
175,cool-stable,1,12,1200.0,8.6275,1039.8477,2.871172,0.0,0.06776749,26.557999,0.091900915,-1.0194002
176,cool-stable,1,17,1700.0,14.247,1044.7966,3.475473,0.0,0.004124909,25.487,-0.68537754,-0.0418396
177,cool-stable,1,50,5000.0,20.728,3000.0,3.7223287,0.000111999994,0.021804938,28.5215,-0.46218956,0.073740125
178,cool-stable,1,17,1700.0,28.973,790.0,4.7978477,0.0016705883,0.0,25.905,-0.6493986,0.34695923
179,cool-stable,1,30,3000.0,18.6305,1237.0327,0.72683656,0.0,0.0,25.228,-0.65609,-0.18731987
180,cool-stable,1,20,2000.0,14.764,992.14404,3.0260196,0.0,0.0,23.3845,-0.3119854,-0.5040203
181,cool-stable,1,20,2000.0,18.359001,3000.0,0.76871824,0.0,0.0,27.0825,0.7539251,-0.037979662
182,cool-stable,1,11,1100.0,23.92,3000.0,2.6963933,0.0,0.016329966,31.066,0.43036345,-0.08327957
183,cool-stable,1,9,900.0,19.774,3000.0,0.6525065,0.0,0.0,27.09,0.57634544,0.011599808
184,cool-stable,1,16,1600.0,27.418999,3000.0,7.005929,0.0,0.009266975,25.942501,0.8797363,0.33719993
185,cool-stable,1,9,900.0,27.412,3000.0,5.0616207,0.022266665,0.052798353,25.292,-0.8412724,0.4758407
186,cool-stable,1,13,1300.0,26.095,3000.0,0.52706444,0.0,0.0,31.614,0.6535845,-0.048400115
187,cool-stable,1,18,1800.0,26.629501,3000.0,4.922835,0.0041333335,0.02419753,28.341,0.9125668,0.27046
188,cool-stable,1,22,2200.0,25.236,2560.2441,3.1055844,0.0,0.0,26.48,0.50024414,-0.7969799
189,cool-stable,1,57,5700.0,25.403,3000.0,0.21836512,0.0,0.0,31.409,0.7650233,-0.03004036
190,cool-stable,1,20,2000.0,24.611,1080.5322,2.8130355,0.0,0.013598765,23.0995,0.70125437,-0.35685924
191,cool-stable,1,9,900.0,19.843,3000.0,4.6513367,0.0,0.0,30.139,0.68553674,0.001400528
192,cool-stable,1,14,1400.0,21.9445,711.1609,3.0703154,0.0,0.0,23.343,-0.42304853,-0.57227945
193,cool-stable,1,11,1100.0,25.551,3000.0,0.35925084,0.0,0.0,29.898,0.23963475,0.011919708
194,cool-stable,1,83,8300.0,25.157,2295.7788,3.548502,0.0,0.0,25.161,0.88069636,-0.038160477
195,cool-stable,1,18,1800.0,22.1705,3000.0,5.271704,0.010622222,0.0,30.280998,0.9935044,0.01423973
196,cool-stable,1,9,900.0,25.65,3000.0,0.500541,0.0,0.0,29.571,0.9743912,-0.065240934
197,cool-stable,1,175,17500.0,25.622,3000.0,0.2264463,0.0,0.0,30.481,0.26133367,-0.0156008145
198,cool-stable,1,17,1700.0,25.657,666.4083,7.642861,0.001082353,0.0003631082,20.228,-0.47065577,-0.75155944
199,cool-stable,1,53,5300.0,15.451,3000.0,0.32070592,0.0004830189,0.053885397,25.103,0.6222441,-0.050960008
200,cool-stable,1,10,1000.0,15.6695,3000.0,0.75419044,0.0036,0.027740741,24.5575,0.7826201,-0.1339801
