patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,centroid_x,centroid_y,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
912,cool-stable,cool stable,1,9,900.0,25508217.222222224,6679771.666666667,25.533333,20.13,24.91,5.383332,0.5199998,537.5872,19.333,3.2763593,0.24516071,-0.18205462,21.87,0.11111111,469.57428,0.0,0.0
913,cool-stable,cool stable,1,47,4700.0,25499066.914893616,6679735.212765957,25.42,19.98,24.75,5.433334,0.6700001,1611.9863,12.332,5.242683,-0.2178799,-0.90628964,27.264,0.0,36.05551,0.0030638296,0.04856055
914,cool-stable,cool stable,1,27,2700.0,25502800.185185187,6679739.814814814,25.556667,20.03,24.9,5.560001,0.6599992,2687.3408,26.204,2.977719,-0.0318795,-0.14973803,29.937,0.0,161.55495,0.0,0.102583446
915,cool-stable,cool stable,1,9,900.0,25506306.111111112,6679752.777777778,25.753334,20.4,25.22,5.3833327,0.6233323,1334.1664,14.914,2.4875288,-0.02916031,-0.8981512,25.462,0.0,10.0,0.066933334,0.19998628
916,cool-stable,cool stable,1,16,1600.0,25492422.5,6679746.875,25.485,19.775002,23.915,5.6483335,1.4016676,2190.7417,17.249,3.4762506,-0.3235192,-0.9641993,28.0745,0.0,20.0,0.09725,0.1279861
917,cool-stable,cool stable,1,10,1000.0,25498870.0,6679755.0,25.575,19.925,24.82,5.63,0.73833275,1633.386,26.404999,5.8077884,0.21360023,-0.3782774,27.6735,0.0,62.03659,0.0,0.102
918,cool-stable,cool stable,1,62,6200.0,25503174.19354839,6679711.774193549,26.77,21.86,26.51,4.986666,0.22000027,2939.0984,33.3415,13.136137,-1.3509803,-0.96373045,2.238,0.0,76.15773,0.0,0.35231978
919,cool-stable,cool stable,1,20,2000.0,25504900.5,6679726.0,25.64,20.175,24.884998,5.536666,0.7049999,2200.055,25.248001,0.67540777,-0.036999855,0.30785424,24.605999,0.0,10.0,0.10864,0.24994445
920,cool-stable,cool stable,1,17,1700.0,25507155.0,6679708.529411765,25.773333,20.34,25.19,5.473334,0.5733325,1210.3718,9.679,3.5796077,-0.17223978,0.47670576,25.127,0.0,20.0,0.033835296,0.1974873
921,cool-stable,cool stable,1,494,49400.0,25509588.09716599,6679586.275303644,25.561666,20.335,24.94,5.246667,0.5900008,90.0,4.7025,3.6792493,-0.17361997,-0.42794442,24.5525,0.0,199.6243,0.0011295546,0.0
922,cool-stable,cool stable,1,11,1100.0,25510573.181818184,6679755.909090909,26.32,20.76,25.66,5.56,0.6533324,67.08204,9.583,1.7348993,-0.15932035,0.86599517,21.085,0.0,14.142136,0.13149092,0.12934905
923,cool-stable,cool stable,1,39,3900.0,25492357.82051282,6679705.256410256,25.34,19.68,23.99,5.653332,1.2433338,2134.596,19.273,2.8556607,-0.023078995,-0.70109105,29.019,0.0,50.0,0.0077128205,0.08115859
924,cool-stable,cool stable,1,40,4000.0,25492557.25,6679719.75,25.293333,19.685001,23.9,5.6166663,1.3516667,2211.266,16.2325,1.3978196,-0.1978398,-0.71303284,25.9015,0.0,36.05551,0.0075000003,0.13801852
925,cool-stable,cool stable,1,68,6800.0,25495228.529411763,6679695.294117647,25.496666,19.805,24.37,5.678333,1.0483329,3000.0,17.02,5.358444,-0.0699403,0.75207394,27.8445,0.0,85.44003,0.0,0.11311547
926,cool-stable,cool stable,1,9,900.0,25500747.222222224,6679731.666666667,26.566668,20.79,25.9,5.7033334,0.68333244,1648.4235,27.409,9.802834,-0.91736007,0.43247026,17.759,0.11111111,22.36068,0.034355555,0.11260632
927,cool-stable,cool stable,1,27,2700.0,25492253.888888888,6679717.962962963,25.283333,19.78,24.01,5.6133323,1.3000011,2110.2607,16.222,1.4337114,-0.3302398,-0.95632786,27.863,0.0,30.0,0.021022223,0.07698674
928,cool-stable,cool stable,1,10,1000.0,25492950.0,6679727.0,25.458332,19.83,24.41,5.5966673,1.085,2402.0303,16.216,7.149996,0.5479007,-0.7858553,26.6605,0.0,75.4518,0.0,0.0
929,cool-stable,cool stable,1,10,1000.0,25493330.0,6679711.0,25.553333,19.865,24.29,5.716667,1.2783344,2612.1133,21.411999,4.416628,0.51863945,-0.29207104,25.543,0.0,17.071068,0.10328001,0.2561358
930,cool-stable,cool stable,1,76,7600.0,25495559.60526316,6679655.0,25.233334,19.795,24.21,5.5083337,0.96000004,3000.0,13.7705,0.75571287,-0.078620315,0.03940627,25.2225,0.0,80.622574,0.0,0.01686972
931,cool-stable,cool stable,1,10,1000.0,25500168.0,6679707.0,26.086666,20.435001,25.33,5.661666,0.751667,1558.8859,16.920502,4.4913454,-1.4421203,0.5942962,26.4105,0.0,22.36068,0.03288,0.116493836
932,cool-stable,cool stable,1,10,1000.0,25505745.0,6679729.0,25.663334,20.215,25.02,5.3516655,0.57833254,1590.2043,12.2465,1.0378782,-0.16913994,0.02282153,22.6185,0.0,20.0,0.0486,0.06412346
933,cool-stable,cool stable,1,15,1500.0,25491655.0,6679722.333333333,25.636667,19.93,24.19,5.7399993,1.4533323,2040.0979,17.43,1.8984313,-0.25060004,-0.08079065,24.241,0.0,30.0,0.025893332,0.15516049
934,cool-stable,cool stable,1,12,1200.0,25492775.833333332,6679712.5,25.638332,20.035,24.615002,5.671666,1.1016665,2299.75,16.301498,1.5497746,-0.058939837,-0.72577214,26.710999,0.0,122.67421,0.0,0.18532921
935,cool-stable,cool stable,1,21,2100.0,25495619.285714287,6679686.428571428,25.366667,19.83,24.2,5.5866675,1.1166674,3000.0,14.263,0.8687046,-0.19047977,-0.07369907,25.238,0.0,31.622776,0.0018285715,0.101657845
936,cool-stable,cool stable,1,12,1200.0,25495784.166666668,6679699.166666667,25.668335,19.96,24.494999,5.7299995,1.1249998,3000.0,21.355999,3.3190398,-0.55892026,-0.45382822,27.456,0.0,14.142136,0.0858,0.18853909
937,cool-stable,cool stable,1,9,900.0,25505069.444444444,6679705.0,25.95,20.49,25.49,5.539999,0.54000026,2048.0479,25.023,1.5024837,0.16739906,0.92158043,23.758,0.0,10.0,0.16057777,0.34714678
938,cool-stable,cool stable,1,30,3000.0,25506789.0,6679704.333333333,25.783333,20.31,25.21,5.4849997,0.52166617,1170.8757,3.8925,0.3595517,-0.047280066,0.1744644,23.465,0.0,109.75334,0.0,0.06111111
939,cool-stable,cool stable,1,25,2500.0,25508479.8,6679657.8,26.756666,21.04,26.36,5.7000003,0.36999956,490.408,0.824,0.15842657,0.002520001,-0.60577077,17.53,0.0,183.84778,0.0,0.0
940,cool-stable,cool stable,1,91,9100.0,25492880.604395606,6679638.956043956,25.196667,19.64,24.01,5.5833335,1.1966654,2291.0479,16.834,1.7396674,-0.13155922,0.49577478,25.968,0.0,106.30146,0.0,0.048163075
941,cool-stable,cool stable,1,12,1200.0,25494674.166666668,6679680.0,25.43,19.705,24.215,5.7216673,1.2216657,3000.0,22.1865,3.6480694,-0.05199936,0.8419431,28.44,0.0,66.62277,0.0,0.0688786
942,cool-stable,cool stable,1,51,5100.0,25500314.019607842,6679635.588235294,25.493334,20.0,24.84,5.473334,0.77333325,1490.0,8.818,3.1708355,-0.17932026,0.5170896,27.33,0.0,56.568542,0.002807843,0.04048414
943,cool-stable,cool stable,1,38,3800.0,25500823.94736842,6679663.684210527,26.645,21.095001,26.095001,5.5249996,0.56666565,1608.1191,18.4165,10.648538,-0.73242044,0.91792554,10.712,0.05263158,50.4951,0.004263158,0.35090643
944,cool-stable,cool stable,1,14,1400.0,25506416.42857143,6679680.714285715,25.738335,20.439999,25.345001,5.4400005,0.4783338,1220.1831,10.068001,7.4766345,-0.022279844,0.9218203,24.9685,0.0,14.142136,0.046085715,0.07373016
945,cool-stable,cool stable,1,11,1100.0,25504843.181818184,6679681.363636363,25.869999,20.28,25.15,5.5399995,0.59333295,2220.0225,25.632,2.2903814,0.07332062,0.054067902,25.097,0.0,30.0,0.0062181815,0.20116724
