patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6163,16,Hot-amplifying,9,900.0,0.8759696907785555,0.9271119498478446,Other vegetation,Other veg.,77.77777777777777
6164,16,Hot-amplifying,12,1200.0,0.8339545361678334,0.9150783358602966,Trees 2–10 m,Trees 2–10 m,33.333333333333336
6165,16,Hot-amplifying,17,1700.0,0.8672290377488457,0.8698502228724645,Other vegetation,Other veg.,82.3529411764706
6166,16,Hot-amplifying,17,1700.0,0.8766811832639764,0.9141537772565719,Other vegetation,Other veg.,41.1764705882353
6167,16,Hot-amplifying,18,1800.0,0.8847049367183888,0.9801427106967608,Trees 2–10 m,Trees 2–10 m,61.111111111111114
6168,16,Hot-amplifying,15,1500.0,0.9166997430024625,0.8739727518091982,Other vegetation,Other veg.,80.0
6169,16,Hot-amplifying,30,3000.0,0.9595277804660366,0.8852903104401216,Other vegetation,Other veg.,86.66666666666667
6170,16,Hot-amplifying,9,900.0,0.8778458803330574,0.8611449114845998,Other vegetation,Other veg.,44.44444444444444
6171,16,Hot-amplifying,40,4000.0,0.9301229636439885,0.8930888899641924,Other vegetation,Other veg.,60.0
6172,16,Hot-amplifying,15,1500.0,0.9041739841070142,0.8812112648795123,Other vegetation,Other veg.,73.33333333333333
6173,16,Hot-amplifying,14,1400.0,0.8658223537164792,0.9191178286857181,Other vegetation,Other veg.,78.57142857142857
6174,16,Hot-amplifying,9,900.0,0.787940076920044,0.8637053166589603,Other vegetation,Other veg.,33.333333333333336
6175,16,Hot-amplifying,14,1400.0,0.8167713244206035,0.8242525104496458,Other vegetation,Other veg.,28.571428571428573
6176,16,Hot-amplifying,18,1800.0,0.9749537798710352,0.9518629812431225,Other vegetation,Other veg.,38.888888888888886
6177,16,Hot-amplifying,11,1100.0,0.8707225746285071,0.9233007223106903,Trees 2–10 m,Trees 2–10 m,45.45454545454545
6178,16,Hot-amplifying,18,1800.0,0.869813882885111,0.8906259700133696,Other vegetation,Other veg.,66.66666666666667
6179,16,Hot-amplifying,18,1800.0,0.847770752461549,0.9630844722589617,Other vegetation,Other veg.,44.44444444444444
