class,patch_id,n_pixels,connectivity_loss_mean_percent,connectivity_loss_median_percent,connectivity_loss_p25_percent,connectivity_loss_p75_percent,connectivity_loss_p90_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_baseline_temp_mean_degC,p90_baseline_temp_median_degC,p90_offset_mean_degC,p90_offset_median_degC,p90_offset_p25_degC,p90_offset_p75_degC,area_m2,log10_area_m2,expected_p90_offset_degC,residual_cooling_loss_degC
Trees 2–10 m,20011,11,28.928612,28.897547,28.80303955078125,29.06108283996582,29.179813385009766,27.478485,27.3,25.816364,25.58,1.6621212,1.6933346,1.6266660690307617,1.7916666269302368,1100.0,3.041392685158225,0.7410474034330927,0.9522871760346807
Trees 2–10 m,20023,11,11.633488,11.748258,11.288153171539307,12.144899845123291,12.391717910766602,27.145454,27.066668,26.027271,26.05,1.118182,1.1466662,0.9500010907649994,1.2933330535888672,1100.0,3.041392685158225,0.7553108456543942,0.3913553235121707
Trees 2–10 m,20045,147,8.902353,9.051376,7.990976810455322,9.889630317687988,10.899459266662598,27.378096,27.483334,26.662992,26.78,0.7151021,0.68333435,0.6150000691413879,0.8200006484985352,14700.0,4.1673173347481764,0.7063888519912351,-0.023054501405297634
Trees 2–10 m,20108,10,2.7718813,2.5966306,2.4418994784355164,2.920073986053467,3.3106904745101926,26.859,26.906666,26.064001,26.185,0.7950002,0.7450005,0.6399995535612106,0.9525003582239151,1000.0,3.0,0.7659538194523965,-0.020953337846866704
Trees 2–10 m,20125,9,2.236816,2.5249662,1.7905279397964478,2.590831756591797,2.731093978881836,26.402962,26.333334,25.94,25.88,0.4629627,0.43333244,0.4033336639404297,0.4766674041748047,900.0,2.9542425094393248,0.801954355069545,-0.36862191183224036
Trees 2–10 m,20183,11,16.345797,16.504303,15.449057579040527,17.085487365722656,17.9715633392334,27.310907,27.293333,26.637274,26.67,0.67363644,0.64666814,0.6250003278255463,0.8116671144962311,1100.0,3.041392685158225,0.7414549037033669,-0.09478676758352433
Trees 2–10 m,20187,18,7.9787083,7.818848,7.450621128082275,8.499211072921753,8.798050880432129,28.398335,28.825,27.307222,27.71,1.0911113,1.093333,0.9741671830415726,1.265833705663681,1800.0,3.255272505103306,0.6433700521969313,0.44996295370822004
Trees 2–10 m,20196,54,2.0891633,2.3044906,1.3147651255130768,2.9696024656295776,3.294709873199463,26.92432,27.013332,26.345741,26.485,0.5785802,0.54833376,0.5074998736381531,0.6491662710905075,5400.0,3.7323937598229686,0.7441786215856512,-0.19584485750941827
Trees 2–10 m,20200,19,9.28124,9.429886,8.939153671264648,9.889915943145752,10.220775413513184,27.268597,27.233334,26.727894,26.69,0.5407018,0.5600001,0.46000003814697266,0.6016661524772644,1900.0,3.278753600952829,0.7401787468357961,-0.18017862524232076
Trees 2–10 m,20250,9,2.1571674,1.8913193,1.7372024059295654,2.1862356662750244,3.2407435894012453,27.096296,26.936666,26.109999,25.96,0.98629665,0.9766674,0.8999996185302734,1.0299993753433228,900.0,2.9542425094393248,0.7650729572174356,0.21159444695736906
