patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
190,cool-stable,1,20,2000.0,23.0995,24.611,2.8130355,-0.35685924,1080.5322,500.0,0.0,0.013598765
191,cool-stable,1,9,900.0,30.139,19.843,4.6513367,0.001400528,3000.0,114.01755,0.0,0.0
192,cool-stable,1,14,1400.0,23.343,21.9445,3.0703154,-0.57227945,711.1609,498.64633,0.0,0.0
193,cool-stable,1,11,1100.0,29.898,25.551,0.35925084,0.011919708,3000.0,30.0,0.0,0.0
194,cool-stable,1,83,8300.0,25.161,25.157,3.548502,-0.038160477,2295.7788,500.0,0.0,0.0
195,cool-stable,1,18,1800.0,30.280998,22.1705,5.271704,0.01423973,3000.0,163.3873,0.010622222,0.0
196,cool-stable,1,9,900.0,29.571,25.65,0.500541,-0.065240934,3000.0,14.142136,0.0,0.0
197,cool-stable,1,175,17500.0,30.481,25.622,0.2264463,-0.0156008145,3000.0,22.36068,0.0,0.0
198,cool-stable,1,17,1700.0,20.228,25.657,7.642861,-0.75155944,666.4083,390.51245,0.001082353,0.0003631082
199,cool-stable,1,53,5300.0,25.103,15.451,0.32070592,-0.050960008,3000.0,20.0,0.0004830189,0.053885397
200,cool-stable,1,10,1000.0,24.5575,15.6695,0.75419044,-0.1339801,3000.0,15.0,0.0036,0.027740741
201,cool-stable,1,10,1000.0,24.5475,15.150499,0.81764674,-0.06259988,3000.0,14.142136,0.0,0.15055557
202,cool-stable,1,12,1200.0,23.02,6.6415,1.8356528,-0.29332,899.4433,447.3595,0.0,0.0
203,cool-stable,1,48,4800.0,25.976,25.4505,3.139495,-0.13201958,3000.0,129.22327,0.019116666,0.04489712
204,cool-stable,1,15,1500.0,22.686,27.526,3.1953359,-0.3883992,1064.7065,296.81644,0.0,0.055860084
205,cool-stable,1,104,10400.0,26.541,11.6,3.4972086,-0.22008029,945.48926,398.18335,0.0,0.02277659
206,cool-stable,1,18,1800.0,29.467499,21.3435,4.2031307,-0.97678065,3000.0,500.0,0.012755555,0.015740741
207,cool-stable,1,14,1400.0,23.5635,21.71,5.478305,-0.47686058,722.1495,354.68295,0.0,0.0
208,cool-stable,1,19,1900.0,28.379,17.09,2.3302147,-0.19923931,3000.0,22.36068,0.008400001,0.24265756
209,cool-stable,1,91,9100.0,28.309,21.331,1.1535798,-0.067799225,3000.0,40.0,0.0019736264,0.099632345
210,cool-stable,1,97,9700.0,24.219,16.218,3.6858702,-0.49035996,554.43665,220.0,0.0051958766,0.027821051
211,cool-stable,1,101,10100.0,24.914,14.845,6.114318,-0.03983997,674.6851,226.71568,0.0007287128,0.057095706
